Height,Label,Weight
48,4 ft 0 in,100
49,4 ft 1 in,110
50,4 ft 2 in,120
51,4 ft 3 in,130
52,4 ft 4 in,140
53,4 ft 5 in,150
54,4 ft 6 in,160
55,4 ft 7 in,170
56,4 ft 8 in,180
57,4 ft 9 in,190
58,4 ft 10 in,200
59,4 ft 11 in,210
60,5 ft 0 in,220
61,5 ft 1 in,230
62,5 ft 2 in,240
63,5 ft 3 in,250
64,5 ft 4 in,260
65,5 ft 5 in,270
66,5 ft 6 in,280
67,5 ft 7 in,290
68,5 ft 8 in,300
69,5 ft 9 in,310
70,5 ft 10 in,320
71,5 ft 11 in,330
72,6 ft 0 in,340
73,6 ft 1 in,350
74,6 ft 2 in,360
75,6 ft 3 in,370
76,6 ft 4 in,380
77,6 ft 5 in,390
78,6 ft 6 in,400
79,6 ft 7 in,
80,6 ft 8 in,
81,6 ft 9 in,
82,6 ft 10 in,
83,6 ft 11 in,
84,7 ft 0 in,
