primary_id,First Name,Last Name,gender,age,birthdate,deathdate
1,William,Rockefeller,M,96,1810-11-13,1906-05-11
2,Eliza,Davison,F,76,1813-09-12,1889-03-28
3,Lucy,Rockefeller,F,40,1838-01-01,1878-01-01
4,William,Rockefeller,M,83,1839-01-01,1922-01-01
5,John,Rockefeller,M,98,1839-07-08,1937-05-23
6,Mary,Rockefeller,F,82,1843-01-01,1925-01-01
7,Franklin,Rockefeller,M,72,1845-01-01,1917-01-01
8,Frances,Rockefeller,F,2,1845-01-01,1847-01-01
9,Laura,Rockefeller,F,76,1839-09-09,1915-03-12
10,Elizabeth,Rockefeller,F,40,1866-08-23,1906-11-14
11,Charles,Strong,M,78,1862-11-28,1940-01-23
12,Margaret,Strong,F,88,1897-01-01,1985-01-01
13,Alice,Rockefeller,F,1,1869-07-14,1870-08-20
14,Alta,Rockefeller,F,91,1871-04-12,1962-06-21
15,John,Prentice,M,70,1902-12-17,1972-06-13
16,Edith,Rockefeller,F,60,1872-08-31,1932-08-25
17,John,McCormick,M,104,1897-01-01,2001-01-01
18,Editha,McCormick,F,101,1903-12-31,2004-01-01
19,Harold,McCormick,M,75,1898-01-01,1973-01-01
20,Muriel,McCormick,F,56,1903-01-01,1959-01-01
21,Mathilde,McCormick,F,42,1905-01-01,1947-01-01
22,Colonel,Prentice,M,92,1863-01-01,1955-01-01
23,Harold,McCormick,M,69,1872-05-02,1941-10-16
24,John,Rockefeller,M,86,1874-01-29,1960-05-11
25,Abigail,Aldrich,F,74,1874-10-26,1948-04-05
26,Abigail,Rockefeller,F,69,1903-11-03,1972-05-27
27,John,Rockefeller,M,72,1906-03-21,1978-07-10
28,Nelson,Rockefeller,M,71,1908-07-08,1979-01-26
29,Laurance,Rockefeller,M,94,1910-05-26,2004-07-11
30,Winthrop,Rockefeller,M,59,1912-05-01,1971-01-12
31,David,Rockefeller,M,102,1915-06-12,2017-03-20
32,Mary,Clark,F,92,1907-06-17,1999-04-21
33,Rodman,Rockefeller,M,68,1932-05-02,2000-05-14
34,Steven,Rockefeller,M,87,1936-04-19,2023-12-17
35,Michael,Rockefeller,M,23,1938-05-18,1961-11-19
36,Mary,Rockefeller,F,85,1938-05-18,2023-12-17
37,Margeretta,Rockefeller,F,89,1926-06-09,2015-05-19
38,Nelson,Rockefeller,M,59,1964-01-01,2023-12-17
39,Mark,Rockefeller,M,56,1967-01-26,2023-12-17
